game,flagSide,team,result,top,jungle,mid,carry,supp,ban1,ban2,ban3,ban4,ban5,firstBlood,firstTower,firstHerald,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35
ESPORTSTMNT02_2557604,0,Liberty Academy,1,126,59,112,222,71,42,124,5,13,64,0,1.0,1.0,,herald,dragon,dragon,herald,first_tower_top,first_tower_bot,,,first_tower_mid,dragon,baron,,second_tower_mid,third_tower_mid,inhibitor_mid,dragon,second_tower_bot,third_tower_bot,baron,inhibitor_mid,nexus_tower,nexus_tower,nexus,,,,,,,,,,,
ESPORTSTMNT02_2557624,1,Flamengo Academy,0,79,108,112,222,111,59,126,124,516,58,0,0.0,0.0,,,,,first_tower_bot,,,dragon,,,first_tower_mid,dragon,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2557624,0,paiN Gaming Academy,1,266,106,13,523,412,42,350,51,118,109,1,1.0,1.0,first_blood,herald,dragon,first_tower_bot,,first_tower_top,herald,,second_tower_top,first_tower_mid,,,baron,second_tower_bot,third_tower_top,second_tower_mid,third_tower_bot,inhibitor_bot,third_tower_mid,inhibitor_mid,inhibitor_top,dragon,baron,nexus_tower,nexus_tower,nexus,,,,,,,,,
ESPORTSTMNT02_2557962,1,KaBuM! Academy,0,85,108,13,235,223,58,43,51,112,123,1,0.0,1.0,first_blood,herald,,,first_tower_top,herald,,,first_tower_mid,,dragon,,,second_tower_top,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2557962,0,LOUD Academy,1,266,5,4,222,117,42,124,109,59,64,0,1.0,0.0,,,dragon,first_tower_bot,,,dragon,first_tower_top,,first_tower_mid,,baron,second_tower_mid,,second_tower_bot,third_tower_mid,inhibitor_mid,nexus_tower,nexus_tower,nexus,,,,,,,,,,,,,,,
ESPORTSTMNT02_2557993,1,RED Academy,0,79,5,112,51,111,4,131,222,555,43,0,0.0,0.0,,,,,,first_tower_bot,dragon,first_tower_mid,,,,,dragon,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2557993,0,FURIA Academy,1,266,64,13,202,89,109,42,124,99,24,1,1.0,1.0,first_blood,herald,dragon,herald,first_tower_mid,,,,first_tower_top,second_tower_mid,first_tower_bot,baron,,second_tower_bot,second_tower_top,third_tower_top,inhibitor_top,nexus_tower,nexus_tower,nexus,,,,,,,,,,,,,,,
ESPORTSTMNT02_2558009,1,paiN Gaming Academy,1,58,59,61,51,875,412,112,109,164,126,1,1.0,1.0,first_blood,herald,first_tower_bot,first_tower_top,,,herald,first_tower_mid,second_tower_bot,,,,baron,second_tower_mid,third_tower_mid,inhibitor_mid,second_tower_top,dragon,inhibitor_mid,nexus_tower,nexus_tower,nexus,,,,,,,,,,,,,
ESPORTSTMNT02_2558009,0,INTZ Academy,0,150,5,13,202,89,42,4,124,99,516,0,0.0,0.0,,,,,dragon,first_tower_bot,,,,first_tower_top,first_tower_mid,dragon,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2558340,1,FURIA Esports,1,109,64,7,222,412,235,5,43,126,84,1,1.0,1.0,first_blood,dragon,herald,first_tower_bot,dragon,first_tower_top,,,dragon,first_tower_mid,second_tower_mid,,baron,second_tower_top,third_tower_mid,second_tower_bot,dragon,inhibitor_mid,third_tower_bot,inhibitor_bot,baron,third_tower_top,nexus_tower,nexus_tower,nexus,,,,,,,,,,
ESPORTSTMNT02_2558340,0,Rensga eSports,0,79,59,112,523,111,42,51,124,13,123,0,0.0,0.0,,,,,,,first_tower_mid,herald,,,,first_tower_bot,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2558353,1,Rensga eSports,0,516,108,134,222,223,13,109,4,126,39,0,1.0,1.0,dragon,,herald,dragon,dragon,herald,first_tower_top,first_tower_bot,,second_tower_bot,,first_tower_mid,,,,,,dragon,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2558353,0,Flamengo Esports,1,875,5,61,523,497,51,42,124,123,164,1,0.0,0.0,,first_blood,,,,,,,first_tower_mid,,dragon,,first_tower_bot,dragon,second_tower_mid,baron,first_tower_top,,third_tower_mid,baron,inhibitor_mid,nexus_tower,nexus_tower,nexus,,,,,,,,,,,
ESPORTSTMNT03_2562201,1,INTZ,0,58,59,123,222,497,235,350,51,412,40,0,0.0,0.0,,,,,first_tower_bot,,,,first_tower_top,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2562201,0,Rensga eSports,1,82,5,13,523,43,109,4,124,111,89,1,1.0,1.0,first_blood,herald,first_tower_top,dragon,,herald,first_tower_bot,dragon,,dragon,first_tower_mid,baron,second_tower_top,second_tower_mid,third_tower_mid,third_tower_top,inhibitor_top,inhibitor_mid,nexus_tower,nexus_tower,nexus,,,,,,,,,,,,,,
ESPORTSTMNT03_2562244,1,Flamengo Esports,1,164,5,142,222,223,131,84,51,7,24,1,0.0,0.0,dragon,first_blood,,,,,first_tower_bot,,,first_tower_top,,,dragon,first_tower_mid,second_tower_top,baron,dragon,second_tower_mid,second_tower_bot,,third_tower_bot,inhibitor_bot,,third_tower_mid,inhibitor_mid,,nexus_tower,third_tower_top,dragon,nexus_tower,nexus,,,,
ESPORTSTMNT03_2562244,0,RED Canids,0,122,64,112,523,117,124,109,4,126,61,0,1.0,1.0,,,dragon,herald,first_tower_top,second_tower_top,,dragon,first_tower_bot,,second_tower_bot,first_tower_mid,,,,,,,,third_tower_top,,,inhibitor_top,,,nexus_tower,,,,,,,,,
ESPORTSTMNT03_2562289,1,FURIA Esports,1,104,106,142,222,43,13,112,126,523,202,0,0.0,0.0,,,dragon,,,,herald,first_tower_bot,,first_tower_mid,,first_tower_top,,second_tower_top,,second_tower_mid,dragon,third_tower_mid,baron,,dragon,second_tower_bot,third_tower_bot,inhibitor_bot,inhibitor_mid,nexus_tower,nexus_tower,nexus,,,,,,,
ESPORTSTMNT03_2562289,0,Liberty,0,58,5,4,110,111,124,51,109,150,517,1,1.0,1.0,first_blood,herald,,first_tower_top,first_tower_bot,dragon,,,second_tower_top,,first_tower_mid,,second_tower_bot,,dragon,,,,,second_tower_mid,,,,,,,,,,,,,,,
ESPORTSTMNT03_2562322,1,LOUD,1,150,48,13,202,43,126,64,109,134,123,0,1.0,0.0,,,,,first_tower_top,herald,dragon,,first_tower_bot,first_tower_mid,second_tower_bot,,dragon,,,dragon,baron,second_tower_top,third_tower_bot,inhibitor_bot,second_tower_mid,third_tower_mid,inhibitor_mid,third_tower_top,inhibitor_top,nexus_tower,nexus_tower,nexus,,,,,,,
ESPORTSTMNT03_2562322,0,paiN Gaming,0,58,5,142,51,99,124,4,412,59,106,1,0.0,1.0,first_blood,dragon,herald,dragon,,,,first_tower_mid,,,,baron,,second_tower_mid,first_tower_top,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2562354,1,Netshoes Miners,0,104,108,103,222,111,109,51,124,126,64,0,1.0,1.0,,,herald,first_tower_top,,second_tower_top,,,first_tower_mid,,dragon,first_tower_bot,,,,second_tower_top,dragon,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2562354,0,KaBuM! e-Sports,1,118,59,13,523,412,58,123,4,223,5,1,0.0,0.0,first_blood,dragon,,,first_tower_bot,,dragon,herald,,first_tower_top,,,first_tower_mid,second_tower_bot,baron,,,second_tower_mid,dragon,third_tower_mid,inhibitor_mid,nexus_tower,nexus_tower,nexus,,,,,,,,,,,
ESPORTSTMNT03_2542608,1,Liberty,1,104,64,4,222,12,142,109,523,164,39,1,1.0,0.0,dragon,first_blood,first_tower_top,dragon,first_tower_bot,,first_tower_mid,dragon,,second_tower_mid,,,baron,second_tower_bot,third_tower_bot,third_tower_mid,inhibitor_bot,inhibitor_mid,nexus_tower,second_tower_top,third_tower_top,dragon,,,inhibitor_mid,nexus_tower,nexus,,,,,,,,
ESPORTSTMNT03_2542608,0,Flamengo Esports,0,24,5,13,202,89,51,42,124,223,40,0,0.0,1.0,,,,,,herald,,,first_tower_top,,first_tower_bot,dragon,,,,,,,,,,,baron,first_tower_mid,,,,,,,,,,,
ESPORTSTMNT03_2542652,1,KaBuM! e-Sports,0,104,238,103,222,412,58,4,51,5,64,0,0.0,1.0,,herald,,,first_tower_bot,herald,first_tower_top,,,second_tower_bot,,second_tower_top,,third_tower_top,,first_tower_mid,third_tower_bot,,,,,,inhibitor_bot,,,,,,,,,,,,
