gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,22/01/2022 15:43,1,1201,100,Blue,team,,,LOUD,oe:team:658a021a796aa5501503220adb38cf4,,Gwen,Diana,Jinx,Vex,Tryndamere,2320,1,19,17,31,19,17,2,0,0,0,0,,,,4914,9310,0,3,2,3,2,3,0,0,0,0,0,,0,0,1,1,1,0,1,1,1,9,3,1,1,6,3,1,0,97484,25211379,,26994310,27539224,167,43190,64,16552,75,357,92328,71210,46170,11940517,,62900,32967,,946,257,,,311121,16289,18712,342,15641,17452,310,648,1260,32,2,2,3,3,5,2,25947,29905,522,24288,29356,511,1659,549,11,4,4,4,4,6,4
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,22/01/2022 15:43,1,1201,200,Red,team,,,FURIA Esports,oe:team:40084525160457267265923de195e09,,Lee Sin,Thresh,Twisted Fate,Kai'Sa,Caitlyn,2320,0,17,19,37,17,19,0,0,0,0,1,,,,4397,9310,1,2,3,2,3,0,0,1,1,0,0,,0,0,0,1,1,1,1,1,0,3,9,0,0,3,6,0,1,73545,19020259,,34378448,25531552,138,35690,69,17845,57,330,85345,64612,39572,10234138,,60860,-32967,,883,242,,,290948,15641,17452,310,16289,18712,342,-648,-1260,-32,3,5,2,2,2,3,24288,29356,511,25947,29905,522,-1659,-549,-11,4,6,4,4,4,4
ESPORTSTMNT01_2695774,complete,,CBLOL,2022,Split 1,0,22/01/2022 17:19,1,1201,1,Blue,top,DoRun,oe:player:609de97618e0efb1e5b4bca418e9d3c,Netshoes Miners,oe:team:8b76a6be17ca3ef99e562b7deb8a3ee,Tryndamere,Jinx,Twisted Fate,Caitlyn,Viktor,Syndra,2152,1,6,0,7,21,7,1,0,0,0,0,0,0,0,5855,7807,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,1,0,16632,4637175,215714,7730855,6775929,13,3625,11,3067,8,46,12825,16682,12016,3350186,244158,15900,,335,304,31,,,93401,3190,4711,82,3630,4901,88,-440,-190,-6,0,0,0,1,0,0,5106,7335,121,5485,7442,139,-379,-107,-18,1,2,0,1,0,0
ESPORTSTMNT01_2695774,complete,,CBLOL,2022,Split 1,0,22/01/2022 17:19,1,1201,2,Blue,jng,Croc,oe:player:76cd75b6b8f0def9bc45032dcc32a61,Netshoes Miners,oe:team:8b76a6be17ca3ef99e562b7deb8a3ee,Viego,Jinx,Twisted Fate,Caitlyn,Viktor,Syndra,2152,1,9,2,6,21,7,2,0,0,0,0,0,0,1,5855,7807,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,1,0,14997,4181320,194509,8699164,5782249,16,4461,14,3903,20,59,16450,14921,10255,2859201,208376,13050,,205,30,175,,,57156,3163,3669,65,3377,3675,70,-214,-6,-5,0,0,1,0,1,0,5394,5740,96,5115,5696,102,279,44,-6,2,1,1,1,1,1
ESPORTSTMNT01_2695774,complete,,CBLOL,2022,Split 1,0,22/01/2022 17:19,1,1201,3,Blue,mid,Anyyy,oe:player:b57e72ed35022b11f16f095682ff782,Netshoes Miners,oe:team:8b76a6be17ca3ef99e562b7deb8a3ee,Vex,Jinx,Twisted Fate,Caitlyn,Viktor,Syndra,2152,1,3,1,14,21,7,0,0,0,0,0,0,0,0,5855,7807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,17412,4854647,225831,4946654,4359758,16,4461,3,836,5,29,8086,15618,10952,3053532,222538,15275,,321,289,32,,,89498,3400,4814,95,3606,4800,105,-206,14,-10,0,0,0,0,0,0,5520,7923,151,5542,7643,166,-22,280,-15,0,3,0,0,1,1
ESPORTSTMNT01_2695774,complete,,CBLOL,2022,Split 1,0,22/01/2022 17:19,1,1201,4,Blue,bot,Drop,oe:player:e740788e7e937ae3feee9222fae4415,Netshoes Miners,oe:team:8b76a6be17ca3ef99e562b7deb8a3ee,Kai'Sa,Jinx,Twisted Fate,Caitlyn,Viktor,Syndra,2152,1,3,1,11,21,7,0,0,0,0,0,0,0,0,5855,7807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,25190,7023234,32671,3983364,2503717,26,7249,7,1952,3,41,11431,16400,11734,3271561,238428,15025,,366,338,28,,,102045,3235,3464,85,3721,3481,102,-486,-17,-17,0,0,0,0,0,0,4970,6055,135,5456,5953,155,-486,102,-20,0,2,0,0,1,0
ESPORTSTMNT01_2695774,complete,,CBLOL,2022,Split 1,0,22/01/2022 17:19,1,1201,5,Blue,sup,Hawk,oe:player:4e0360185eba3ff8c175aebc3278b7b,Netshoes Miners,oe:team:8b76a6be17ca3ef99e562b7deb8a3ee,Leona,Jinx,Twisted Fate,Caitlyn,Viktor,Syndra,2152,1,0,3,15,21,7,0,0,0,0,0,0,0,0,5855,7807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,2871,800465,372364,2706134,3356041,65,18123,16,4461,21,112,31227,8923,4257,1186896,865014,8575,,42,42,0,,,11710,2069,2055,14,2115,2354,15,-46,-299,-1,0,0,0,0,0,0,3247,3406,23,3168,3324,27,79,82,-4,0,3,1,0,1,1
ESPORTSTMNT01_2695774,complete,,CBLOL,2022,Split 1,0,22/01/2022 17:19,1,1201,6,Red,top,Boal,oe:player:6daafc30b010acda4ebc20b6785cbc0,Flamengo Esports,oe:team:5ef087125f8255546c01970122b3cec,Gwen,Nidalee,Corki,Diana,Lee Sin,Jayce,2152,0,2,3,2,7,21,0,0,0,0,1,1,0,0,1952,7807,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,0,1,16705,4657528,315052,6224721,8441822,17,4740,6,1673,5,37,10316,14294,9628,2684387,26869,14225,,342,334,8,,,95353,3630,4901,88,3190,4711,82,440,190,6,1,0,0,0,0,0,5485,7442,139,5106,7335,121,379,107,18,1,0,0,1,2,0
ESPORTSTMNT01_2695774,complete,,CBLOL,2022,Split 1,0,22/01/2022 17:19,1,1201,7,Red,jng,asta,oe:player:5913c1b5618afae9f7e2e85111ff769,Flamengo Esports,oe:team:5ef087125f8255546c01970122b3cec,Xin Zhao,Nidalee,Corki,Diana,Lee Sin,Jayce,2152,0,1,5,3,7,21,0,0,0,0,1,0,1,0,1952,7807,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,0,1,8724,2432342,164532,9920353,7182435,12,3346,15,4182,13,50,13941,10584,5918,1650000,165156,11225,,203,32,171,,,56599,3377,3675,70,3163,3669,65,214,6,5,0,1,0,0,0,1,5115,5696,102,5394,5740,96,-279,-44,6,1,1,1,2,1,1
ESPORTSTMNT01_2695774,complete,,CBLOL,2022,Split 1,0,22/01/2022 17:19,1,1201,8,Red,mid,Tutsz,oe:player:886e8205ac1b091dbf67dbae83b1544,Flamengo Esports,oe:team:5ef087125f8255546c01970122b3cec,Orianna,Nidalee,Corki,Diana,Lee Sin,Jayce,2152,0,1,4,3,7,21,0,0,0,0,0,0,0,0,1952,7807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,12588,3509665,237406,3685595,2639219,9,2509,16,4461,5,46,12825,13549,8883,2476673,247899,12905,,353,336,17,,,98420,3606,4800,105,3400,4814,95,206,-14,10,0,0,0,0,0,0,5542,7643,166,5520,7923,151,22,-280,15,0,1,1,0,3,0
ESPORTSTMNT01_2695774,complete,,CBLOL,2022,Split 1,0,22/01/2022 17:19,1,1201,9,Red,bot,Flare,oe:player:0cfa7da07f11bd954137ab359972515,Flamengo Esports,oe:team:5ef087125f8255546c01970122b3cec,Jhin,Nidalee,Corki,Diana,Lee Sin,Jayce,2152,0,3,3,2,7,21,0,0,0,0,0,0,0,0,1952,7807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,9515,2652881,17945,4189684,2488941,20,5576,12,3346,11,51,14219,13919,9253,2579833,258225,12975,,331,320,11,,,92286,3721,3481,102,3235,3464,85,486,17,17,0,0,0,0,0,0,5456,5953,155,4970,6055,135,486,-102,20,0,1,0,0,2,0
ESPORTSTMNT01_2695774,complete,,CBLOL,2022,Split 1,0,22/01/2022 17:19,1,1201,10,Red,sup,Bounty,oe:player:5dedda929608ef07aedda33aa2b474e,Flamengo Esports,oe:team:5ef087125f8255546c01970122b3cec,Maokai,Nidalee,Corki,Diana,Lee Sin,Jayce,2152,0,0,6,2,7,21,0,0,0,0,0,0,0,0,1952,7807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,5491,1530948,103559,4542658,4241822,59,16450,14,3903,17,104,28996,6817,2151,599721,600311,6575,,42,42,0,,,11710,2115,2354,15,2069,2055,14,46,299,1,0,0,0,0,0,0,3168,3324,27,3247,3406,23,-79,-82,4,0,1,1,0,3,1
ESPORTSTMNT01_2695774,complete,,CBLOL,2022,Split 1,0,22/01/2022 17:19,1,1201,100,Blue,team,,,Netshoes Miners,oe:team:8b76a6be17ca3ef99e562b7deb8a3ee,,Jinx,Twisted Fate,Caitlyn,Viktor,Syndra,2152,1,21,7,53,21,7,3,0,0,0,0,,,,5855,7807,1,3,1,3,1,2,0,1,0,0,0,,0,0,1,2,0,1,2,0,1,10,2,1,1,2,3,2,0,77102,21496840,,28066171,22777695,136,37918,51,14219,57,287,80019,72544,49215,13721654,,67825,157798,,1003,266,,,353810,15057,18713,341,16449,19211,380,-1392,-498,-39,0,0,1,1,1,0,24237,30459,526,24766,30058,589,-529,401,-63,3,11,2,2,4,3
