game,league,blueteam,redteam,golId,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35,event36,event37,event38,event39,event40,event41,event42,event43,event44,event45
ESPORTSTMNT06_2753012,LFL2,Klanik Esport,MS Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT06_2754023,LFL2,beGenius ESC,ViV Esport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT06_2755035,LFL2,Team du Sud,Akroma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT06_2754033,LFL2,Atletec,Joblife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT06_2755041,LFL2,Lille Esport,Project Conquerors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_3083253,LVP DDH,Reven Esports,19esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_3083260,LVP DDH,The Kings Moon,PÊEK Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_3084286,LVP DDH,Leviatan Esports,Tomorrow Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_3084288,LVP DDH,Zylant Esports,Atheris Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT06_2753084,LFL2,MS Company,Project Conquerors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT06_2755095,LFL2,Klanik Esport,Lille Esport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT06_2754094,LFL2,Akroma,ViV Esport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT06_2753102,LFL2,Joblife,Team du Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT06_2758001,LFL2,Atletec,beGenius ESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_3084389,EL,War Legion Esports,Bandits Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_3083357,EL,Mezexis Esports,Saprissa Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_3083359,EL,Janus Esports,Vandals Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
