golId,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35,event36,event37,event38,event39,event40,event41,event42,event43,event44,event45
48768,RED: first_blood,BLUE: herald,BLUE: first_tower_top,RED: dragon,RED: herald,RED: dragon,RED: first_tower_bot,BLUE: first_tower_mid,RED: first_tower_mid,BLUE: dragon,BLUE: baron,BLUE: first_tower_bot,RED: first_tower_top,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,RED: second_tower_top,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,
48769,RED: first_blood,RED: dragon,BLUE: herald,RED: dragon,RED: herald,RED: first_tower_mid,BLUE: first_tower_bot,BLUE: dragon,RED: first_tower_bot,BLUE: first_tower_top,RED: second_tower_mid,RED: first_tower_top,BLUE: baron,RED: dragon,BLUE: first_tower_mid,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: dragon,BLUE: baron,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: second_tower_top,BLUE: third_tower_top,BLUE: nexus,,,,,,,,,,,,,,,,,,,
47238,BLUE: first_blood,BLUE: dragon,RED: herald,BLUE: dragon,BLUE: herald,BLUE: first_tower_mid,RED: dragon,BLUE: first_tower_bot,BLUE: first_tower_top,RED: first_tower_bot,BLUE: dragon,BLUE: second_tower_mid,BLUE: dragon,RED: baron,RED: first_tower_mid,RED: second_tower_mid,RED: first_tower_top,RED: elder_dragon,RED: baron,RED: second_tower_top,RED: third_tower_top,RED: third_tower_mid,RED: inhibitor_top,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,
47239,RED: first_blood,BLUE: dragon,BLUE: herald,BLUE: dragon,BLUE: first_tower_mid,BLUE: first_tower_bot,BLUE: herald,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: dragon,BLUE: first_tower_top,BLUE: second_tower_top,RED: baron,RED: first_tower_top,BLUE: dragon,BLUE: baron,RED: first_tower_bot,BLUE: elder_dragon,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,
47240,BLUE: first_blood,BLUE: dragon,RED: herald,BLUE: dragon,BLUE: first_tower_bot,BLUE: herald,RED: first_tower_bot,BLUE: first_tower_mid,RED: first_tower_top,BLUE: dragon,BLUE: second_tower_mid,BLUE: first_tower_top,BLUE: second_tower_top,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,,
48275,BLUE: dragon,BLUE: herald,BLUE: first_blood,BLUE: first_tower_bot,BLUE: dragon,BLUE: herald,BLUE: first_tower_mid,BLUE: second_tower_mid,BLUE: dragon,BLUE: first_tower_top,BLUE: second_tower_top,BLUE: dragon,BLUE: second_tower_bot,RED: baron,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: elder_dragon,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: inhibitor_mid,BLUE: baron,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,
48276,RED: dragon,RED: herald,BLUE: first_blood,BLUE: dragon,RED: first_tower_bot,BLUE: first_tower_top,BLUE: herald,RED: first_tower_mid,BLUE: first_tower_mid,BLUE: second_tower_mid,BLUE: dragon,BLUE: first_tower_bot,RED: baron,RED: first_tower_top,BLUE: dragon,BLUE: dragon,RED: second_tower_mid,RED: baron,BLUE: elder_dragon,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,
44694,BLUE: first_blood,BLUE: dragon,BLUE: herald,RED: dragon,RED: herald,RED: first_tower_top,RED: first_tower_mid,BLUE: dragon,BLUE: first_tower_bot,RED: baron,RED: second_tower_mid,RED: dragon,RED: first_tower_bot,BLUE: baron,RED: dragon,RED: second_tower_bot,BLUE: first_tower_top,BLUE: dragon,RED: baron,RED: second_tower_top,RED: third_tower_mid,RED: inhibitor_mid,RED: third_tower_top,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,
44695,BLUE: first_blood,RED: dragon,BLUE: herald,BLUE: dragon,BLUE: first_tower_mid,RED: first_tower_top,BLUE: herald,RED: first_tower_bot,BLUE: first_tower_bot,BLUE: second_tower_bot,BLUE: dragon,BLUE: first_tower_top,BLUE: baron,BLUE: second_tower_top,BLUE: second_tower_mid,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: dragon,RED: second_tower_bot,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,
44696,BLUE: first_blood,RED: herald,BLUE: dragon,BLUE: first_tower_bot,BLUE: herald,RED: first_tower_mid,BLUE: first_tower_mid,BLUE: dragon,BLUE: second_tower_mid,BLUE: first_tower_top,BLUE: baron,RED: first_tower_top,RED: dragon,RED: first_tower_bot,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: third_tower_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,
