golId,result,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,BLUE:kill,BLUE:plateBLUE:first_blood,BLUE:dragon,BLUE:herald,BLUE:first_tower_top,BLUE:first_tower_mid,BLUE:first_tower_bot,BLUE:second_tower_top,BLUE:second_tower_mid,BLUE:second_tower_bot,BLUE:third_tower_top,BLUE:third_tower_mid,BLUE:third_tower_bot,BLUE:inhibitor_top,BLUE:inhibitor_mid,BLUE:inhibitor_bot,BLUE:baron,BLUE:elder_dragon,BLUE:nexus_tower,BLUE:nexus,RED:kill,RED:plate,RED:first_blood,RED:dragon,RED:herald,RED:first_tower_top,RED:first_tower_mid,RED:first_tower_bot,RED:second_tower_top,RED:second_tower_mid,RED:second_tower_bot,RED:third_tower_top,RED:third_tower_mid,RED:third_tower_bot,RED:inhibitor_top,RED:inhibitor_mid,RED:inhibitor_bot,RED:baron,RED:elder_dragon,RED:nexus_tower,RED:nexus
41606,0,3,1.0,0.55,1,1.0,0.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.5,3.4,0,0.0,0.0,0,0.0,0.0,7,0.43,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,2,1
41604,0,1,0.0,4.0,3,0.67,1.82,2,0.5,0.75,0,0.0,0.0,0,0.0,0.0,8,0.5,2.4,2,0.5,2.6,0,0.0,0.0,7,0.57,3.13,6,0.5,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,2,1
41609,1,0,0.0,0.0,13,0.77,4.93,1,1.0,1.33,0,0.0,0.0,0,0.0,0.0,3,0.67,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.0,0.5,7,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41607,0,8,0.62,0.58,4,0.75,1.73,2,0.5,3.0,4,0.5,0.86,6,0.83,1.81,11,0.27,4.89,2,0.5,3.67,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,2,1
41605,0,1,0.0,12.0,3,0.67,2.25,0,0.0,0.0,3,0.67,2.88,0,0.0,0.0,10,0.5,2.58,6,0.5,2.87,4,0.25,9.6,2,0.0,11.0,14,0.29,6.54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,2,1
41608,1,1,0.0,7.0,4,0.25,2.21,1,1.0,7.0,2,1.0,7.5,0,0.0,0.0,3,1.0,4.0,4,0.5,1.27,6,0.83,2.31,0,0.0,0.0,0,0.0,0.0,11,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41615,1,12,0.58,5.59,0,0.0,0.0,7,0.43,4.85,13,0.38,3.22,8,0.75,6.16,0,0.0,0.0,1,0.0,0.5,0,0.0,0.0,5,0.6,2.85,1,1.0,0.75,6,0,2,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41611,1,12,0.58,5.59,1,0.0,13.0,1,0.0,6.0,2,1.0,22.5,0,0.0,0.0,0,0.0,0.0,1,1.0,3.0,3,0.67,1.75,1,1.0,0.67,0,0.0,0.0,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,2,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41612,0,10,0.7,2.89,0,0.0,0.0,4,1.0,1.85,2,1.0,6.67,0,0.0,0.0,3,0.33,5.4,8,0.62,6.13,0,0.0,0.0,12,0.5,4.12,3,0.67,49.0,4,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2,1
41610,0,0,0.0,0.0,0,0.0,0.0,2,0.5,3.4,1,0.0,12.0,0,0.0,0.0,2,0.5,0.55,6,0.5,3.06,2,1.0,4.75,13,0.46,3.41,5,0.4,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,2,1
41613,1,0,0.0,0.0,1,1.0,5.0,2,0.5,4.0,1,0.0,13.0,12,0.42,2.58,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.0,4.67,5,0.6,2.0,6,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41614,1,0,0.0,0.0,0,0.0,0.0,1,1.0,0.67,1,0.0,1.33,0,0.0,0.0,1,1.0,1.67,0,0.0,0.0,0,0.0,0.0,2,0.5,1.5,1,0.0,13.0,7,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41622,1,4,0.75,10.0,0,0.0,0.0,2,1.0,3.5,0,0.0,0.0,0,0.0,0.0,2,0.0,0.62,1,0.0,6.0,0,0.0,0.0,1,1.0,0.0,5,0.4,1.04,9,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
