game,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
ESPORTSTMNT02_3168031,1,0.0,1.4,2,0.0,6.0,0,0,0,1,0.0,10,1,0.0,12.0,2,0.5,2.33,0,0,0,1,0.0,1.14,2,1.0,9.33,0,0,0,0
ESPORTSTMNT03_3125134,0,0,0,0,0,0,2,0.5,1.5,12,0.75,1.62,6,0.83,2.19,7,0.43,3.11,3,0.0,7.2,5,0.2,7.17,0,0,0,0,0,0,0
ESPORTSTMNT03_3127987,2,1.0,8.67,3,0.67,5.25,2,0.0,2.78,4,0.25,4.82,5,0.6,11.25,2,0.0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,1
ESPORTSTMNT02_3163681,2,0.5,1.56,1,0.0,2.0,2,0.0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,4.25,1,0.0,6.0,1,0.0,8.33,1
ESPORTSTMNT01_3329670,0,0,0,2,0.5,2.5,0,0,0,2,0.5,8.25,1,0.0,8.0,0,0,0,4,0.75,6.5,3,0.33,3.0,5,0.4,5.17,6,0.67,12.5,0
ESPORTSTMNT01_3329040,0,0,0,0,0,0,1,0.0,11,2,0.5,17.0,2,0.5,3.0,1,1.0,2.0,2,0.5,1.42,0,0,0,1,1.0,2.0,1,0.0,0.5,1
ESPORTSTMNT03_3116279,5,0.4,1.18,7,0.71,3.0,6,0.5,3.47,7,0.29,6.0,6,0.33,5.71,6,0.67,4.0,4,0.5,3.0,4,0.25,6.5,1,0.0,8,1,0.0,8,0
ESPORTSTMNT03_3092796,1,0.0,6.5,2,0.5,4.83,0,0,0,0,0,0,1,1.0,17.0,0,0,0,0,0,0,2,1.0,5.2,1,1.0,4.67,1,1.0,6.33,1
ESPORTSTMNT03_3099998,1,0.0,8,0,0,0,1,1.0,8.0,2,0.5,8,3,0.67,4.0,1,0.0,8,0,0,0,1,0.0,13.0,0,0,0,0,0,0,1
ESPORTSTMNT03_3113903,5,0.4,3.36,9,0.44,3.95,3,0.33,21.0,1,0.0,6,4,0.25,4.6,2,0.5,2.75,3,0.67,1.62,2,0.5,15.0,3,0.67,12.5,1,0.0,8,0
ESPORTSTMNT03_3119106,11,0.45,4.26,8,0.38,2.91,10,0.5,1.9,0,0,0,0,0,0,3,0.33,3.67,10,0.6,1.93,2,0.0,2.33,9,0.67,5.67,6,0.67,3.54,0
ESPORTSTMNT03_3126254,3,0.67,4.0,0,0,0,1,0.0,14.0,0,0,0,0,0,0,0,0,0,1,0.0,2.17,1,0.0,0.33,2,0.5,1.38,1,0.0,1.2,1
ESPORTSTMNT03_3091336,2,0.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,3.0,1,1.0,3.5,2,0.5,1.44,1,0.0,6.0,2,0.0,8.0,1
ESPORTSTMNT01_3304214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,1.89,0,0,0,1,1.0,1.6,0,0,0,0
ESPORTSTMNT01_3328205,5,0.6,5.0,6,0.5,4.7,1,0.0,11,11,0.55,7.75,7,0.57,4.31,2,0.0,3.0,5,0.4,3.07,0,0,0,0,0,0,1,0.0,3.5,1
ESPORTSTMNT01_3328669,0,0,0,5,0.8,1.79,1,1.0,10.0,0,0,0,0,0,0,0,0,0,3,0.33,3.5,0,0,0,1,1.0,4.0,0,0,0,1
ESPORTSTMNT01_3337944,2,1.0,7.0,3,0.67,10.0,7,0.71,5.12,18,0.61,8.2,11,0.73,5.75,5,0.4,3.33,11,0.45,2.76,1,0.0,3.0,6,0.83,2.0,8,0.62,2.12,1
ESPORTSTMNT01_3313872,0,0,0,0,0,0,0,0,0,1,0.0,1.0,2,1.0,31,0,0,0,0,0,0,0,0,0,1,1.0,6.5,0,0,0,1
ESPORTSTMNT02_3151708,1,1.0,1.5,4,0.75,4.43,2,1.0,2.67,2,1.0,4.33,2,0.5,1.33,5,0.6,9.5,9,0.44,4.53,0,0,0,4,0.5,32,7,0.71,4.46,0
ESPORTSTMNT02_3166855,0,0,0,2,0.5,2.12,2,0.0,5.2,5,0.6,6.5,1,0.0,16.0,0,0,0,1,1.0,1.0,2,0.5,2.22,2,0.5,5.75,1,1.0,8.0,1
ESPORTSTMNT01_3328190,7,0.43,4.67,12,0.33,5.47,1,0.0,11,11,0.55,7.75,7,0.57,4.31,8,0.5,1.21,2,0.5,1.25,3,0.33,1.5,0,0,0,4,0.25,4.0,1
ESPORTSTMNT01_3310923,1,1.0,6.0,7,0.57,3.94,2,1.0,3.5,1,1.0,8,0,0,0,4,0.5,3.62,3,0.67,0.67,1,0.0,2.33,5,0.2,3.64,1,0.0,7.5,1
ESPORTSTMNT03_3119931,2,0.0,1.2,3,0.67,2.08,0,0,0,1,1.0,11,1,0.0,2.0,1,1.0,2.8,0,0,0,0,0,0,1,1.0,1.0,0,0,0,1
ESPORTSTMNT03_3112838,0,0,0,3,0.67,1.62,3,0.67,8.0,8,0.62,5.6,0,0,0,7,0.57,5.08,9,0.44,3.95,2,0.5,9.0,0,0,0,5,0.4,14.75,1
ESPORTSTMNT03_3117452,0,0,0,0,0,0,1,0.0,10.0,1,0.0,9,3,0.67,6.67,2,1.0,0.62,0,0,0,0,0,0,1,1.0,8.0,1,1.0,1.4,0
ESPORTSTMNT02_3155940,0,0,0,1,1.0,0.5,0,0,0,1,1.0,6.0,2,1.0,0.41,0,0,0,0,0,0,1,1.0,2.67,2,0.5,2.43,3,1.0,16.33,0
ESPORTSTMNT01_3310542,2,0.5,20,5,0.6,3.18,4,0.75,2.2,2,0.5,1.6,2,0.5,1.29,3,1.0,6.5,5,1.0,3.91,0,0,0,5,0.8,6.0,4,1.0,5.38,0
ESPORTSTMNT03_3111569,5,0.4,1.59,16,0.31,2.41,6,0.33,3.1,8,0.5,1.95,4,0.5,5.2,6,0.5,3.25,2,0.0,6.0,2,0.5,5.75,0,0,0,0,0,0,0
ESPORTSTMNT01_3332801,10,0.6,5.08,3,0.67,6.0,0,0,0,12,0.75,6.25,13,0.69,16.3,8,0.5,4.64,14,0.5,2.97,5,0.6,37.0,1,0.0,7.0,9,0.67,5.29,1
