golId,game,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35,event36,event37,event38,event39,event40,event41,event42,event43,event44,event45,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
53350,ESPORTSTMNT01_3416614,RED: first_blood,BLUE: dragon,RED: herald,RED: dragon,BLUE: herald,BLUE: first_tower_top,RED: dragon,BLUE: second_tower_top,BLUE: first_tower_bot,RED: first_tower_bot,RED: first_tower_top,RED: dragon,RED: second_tower_bot,BLUE: first_tower_mid,RED: third_tower_bot,RED: inhibitor_bot,RED: first_tower_mid,RED: dragon,RED: baron,RED: second_tower_top,RED: second_tower_mid,RED: third_tower_mid,RED: third_tower_top,RED: inhibitor_top,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,4,0.75,3.0,5,1.0,6.5,6,0.17,15.4,5,0.2,7.6,7,0.71,4.25,22,0.55,5.03,2,0.5,2.43,6,0.33,7.64,7,0.71,5.36,10,0.6,4.79,0
53351,ESPORTSTMNT01_3418484,RED: first_blood,BLUE: dragon,BLUE: herald,BLUE: dragon,RED: first_tower_mid,BLUE: herald,BLUE: first_tower_mid,BLUE: dragon,BLUE: first_tower_bot,RED: first_tower_top,RED: first_tower_bot,RED: dragon,BLUE: baron,BLUE: second_tower_bot,BLUE: second_tower_mid,BLUE: first_tower_top,RED: second_tower_top,RED: third_tower_top,BLUE: dragon,RED: inhibitor_top,RED: second_tower_mid,RED: baron,RED: second_tower_bot,RED: third_tower_bot,BLUE: elder_dragon,BLUE: third_tower_mid,BLUE: inhibitor_mid,RED: inhibitor_top,RED: baron,RED: third_tower_mid,RED: inhibitor_mid,RED: inhibitor_bot,RED: nexus_tower,BLUE: elder_dragon,RED: inhibitor_mid,BLUE: baron,BLUE: second_tower_top,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,8,0.5,3.44,3,0.67,4.29,6,0.83,3.57,10,0.7,4.79,4,0.25,1.33,14,0.21,3.19,1,0.0,17.0,7,0.71,6.4,11,0.45,6.13,3,0.67,1.92,1
53370,ESPORTSTMNT05_3240610,RED: dragon,RED: first_blood,RED: herald,RED: dragon,BLUE: first_tower_mid,BLUE: herald,BLUE: first_tower_bot,BLUE: dragon,RED: first_tower_top,RED: first_tower_bot,BLUE: first_tower_top,BLUE: dragon,BLUE: dragon,BLUE: baron,RED: first_tower_mid,BLUE: second_tower_mid,BLUE: dragon,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,7,0.71,2.81,6,0.5,6.45,0,0,0,0,0,0,7,0.29,3.73,0,0,0,6,0.83,2.27,0,0,0,12,0.83,9.12,7,0.43,2.48,1
53371,ESPORTSTMNT05_3239587,BLUE: first_blood,RED: dragon,BLUE: herald,RED: dragon,RED: herald,BLUE: first_tower_bot,RED: dragon,BLUE: first_tower_top,BLUE: first_tower_mid,BLUE: dragon,BLUE: baron,BLUE: second_tower_bot,BLUE: second_tower_mid,BLUE: second_tower_top,RED: first_tower_top,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,0.4,2.67,2,0.5,10.5,11,0.45,8.36,7,0.43,2.48,5,0.6,1.35,0,0,0,9,0.67,4.79,0,0,0,3,0.67,5.5,1
53377,ESPORTSTMNT02_3232866,BLUE: first_blood,BLUE: dragon,BLUE: herald,BLUE: dragon,RED: first_tower_bot,BLUE: herald,BLUE: first_tower_top,RED: first_tower_top,BLUE: dragon,RED: first_tower_mid,RED: dragon,RED: baron,RED: second_tower_mid,RED: second_tower_bot,RED: third_tower_bot,RED: inhibitor_bot,RED: second_tower_top,RED: dragon,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,9.5,2,0.5,24.0,7,0.29,12.0,12,0.33,6.74,5,1.0,4.29,4,0.5,2.33,10,0.5,6.39,1,0.0,10,4,0.5,4.1,7,0.43,6.62,0
53378,ESPORTSTMNT02_3233840,BLUE: first_blood,BLUE: herald,RED: dragon,BLUE: first_tower_mid,BLUE: first_tower_bot,BLUE: first_tower_top,BLUE: herald,BLUE: second_tower_mid,RED: dragon,RED: dragon,BLUE: baron,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.75,3.0,2,0.5,10.0,4,0.5,4.75,9,0.56,5.47,7,0.43,6.62,1,1.0,11.0,9,0.44,5.71,7,0.29,12.0,0,0,0,1,1.0,17.0,1
53379,ESPORTSTMNT02_3233842,RED: first_blood,BLUE: herald,RED: dragon,RED: dragon,RED: first_tower_bot,BLUE: herald,RED: first_tower_mid,RED: first_tower_top,BLUE: first_tower_bot,BLUE: first_tower_top,RED: dragon,RED: baron,RED: second_tower_top,RED: second_tower_mid,RED: second_tower_bot,BLUE: second_tower_top,RED: third_tower_mid,RED: third_tower_bot,RED: inhibitor_mid,RED: inhibitor_bot,BLUE: third_tower_top,RED: dragon,RED: baron,RED: third_tower_top,RED: inhibitor_top,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,12,0.67,3.28,6,0.83,2.68,5,0.8,6.3,4,0.5,4.1,7,0.43,6.62,1,1.0,11.0,9,0.44,5.71,4,0.5,6.8,7,0.57,8.6,7,0.29,2.58,0
53380,ESPORTSTMNT02_3233843,RED: first_blood,BLUE: herald,RED: dragon,RED: first_tower_top,BLUE: herald,BLUE: dragon,RED: first_tower_mid,RED: first_tower_bot,RED: second_tower_top,RED: second_tower_mid,RED: third_tower_mid,RED: inhibitor_mid,RED: dragon,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,8,0.62,3.44,2,0.0,3.5,7,0.57,8.6,5,1.0,4.29,12,0.67,3.28,4,0.5,5.62,7,0.29,9.78,2,0.5,35,6,0.5,2.0,0
47296,ESPORTSTMNT03_3124103,RED: first_blood,RED: dragon,BLUE: herald,RED: dragon,RED: first_tower_bot,BLUE: herald,RED: first_tower_top,RED: dragon,BLUE: first_tower_mid,BLUE: second_tower_mid,BLUE: first_tower_bot,RED: second_tower_bot,BLUE: dragon,RED: second_tower_top,RED: baron,RED: first_tower_mid,RED: second_tower_mid,BLUE: dragon,RED: third_tower_top,RED: third_tower_mid,RED: inhibitor_mid,RED: third_tower_bot,RED: inhibitor_bot,RED: baron,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,2,0.5,3.4,6,0.33,4.73,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0,0,0,1,1.0,7.67,6,0.83,4.86,0
47301,ESPORTSTMNT03_3124607,BLUE: herald,RED: dragon,BLUE: first_blood,BLUE: dragon,RED: herald,BLUE: first_tower_mid,BLUE: first_tower_top,RED: first_tower_bot,BLUE: first_tower_bot,BLUE: dragon,BLUE: second_tower_mid,BLUE: baron,BLUE: dragon,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: second_tower_top,BLUE: third_tower_top,BLUE: nexus_tower,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,2,0.5,3.4,3,0.33,3.0,1,1.0,14.0,0,0,0,1,0.0,5.5,4,0.5,1.76,5,0.8,3.07,0,0,0,4,0.5,11.75,3,0.33,10.67,1
47307,ESPORTSTMNT03_3128069,BLUE: dragon,BLUE: herald,BLUE: dragon,BLUE: first_tower_bot,RED: herald,BLUE: first_tower_top,RED: dragon,RED: first_blood,RED: first_tower_mid,RED: dragon,BLUE: baron,BLUE: dragon,BLUE: first_tower_mid,BLUE: second_tower_mid,BLUE: second_tower_bot,BLUE: second_tower_top,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,6,0.5,3.17,0,0,0,1,1.0,11.0,0,0,0,3,0.33,1.0,4,0.5,3.25,3,0.33,7.0,1,0.0,8.0,3,0.33,4.0,3,0.33,7.0,1
51419,ESPORTSTMNT02_3222016,RED: first_blood,BLUE: dragon,RED: herald,RED: dragon,RED: herald,BLUE: first_tower_bot,RED: dragon,RED: first_tower_mid,BLUE: baron,BLUE: first_tower_mid,BLUE: first_tower_top,BLUE: second_tower_mid,BLUE: dragon,RED: first_tower_top,RED: baron,RED: first_tower_bot,BLUE: dragon,RED: second_tower_mid,RED: baron,RED: dragon,RED: second_tower_bot,RED: second_tower_top,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: dragon,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,4,1.0,2.33,10,0.4,3.2,5,0.6,1.73,13,0.77,3.68,12,0.83,3.18,14,0.5,5.06,11,0.82,3.23,0,0,0,4,0.5,4.0,3,0.33,3.0,0
51422,ESPORTSTMNT02_3220608,BLUE: first_blood,RED: dragon,RED: herald,BLUE: dragon,RED: first_tower_top,BLUE: herald,BLUE: first_tower_mid,BLUE: dragon,BLUE: first_tower_top,BLUE: first_tower_bot,BLUE: dragon,BLUE: second_tower_mid,BLUE: second_tower_bot,BLUE: baron,BLUE: second_tower_top,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: third_tower_top,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,8,0.75,4.5,13,0.54,7.65,13,0.38,6.2,9,0.56,13.62,11,0.55,4.61,10,0.3,1.28,7,0.86,1.19,4,0.75,5.67,4,0.5,1.22,1,0.0,0.67,1
51423,ESPORTSTMNT02_3221581,RED: first_blood,BLUE: dragon,RED: herald,RED: dragon,RED: first_tower_top,RED: herald,RED: first_tower_mid,RED: dragon,BLUE: baron,BLUE: first_tower_mid,BLUE: first_tower_bot,RED: second_tower_top,BLUE: second_tower_bot,RED: dragon,BLUE: first_tower_top,RED: first_tower_bot,BLUE: second_tower_mid,BLUE: baron,RED: second_tower_mid,BLUE: dragon,RED: second_tower_bot,BLUE: baron,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,10,0.3,1.28,1,1.0,4.33,2,0.5,3.67,4,0.5,1.91,1,0.0,0.67,0,0,0,13,0.54,7.65,9,0.44,6.93,9,0.56,13.62,10,0.4,5.44,1
51424,ESPORTSTMNT02_3221591,RED: first_blood,BLUE: dragon,RED: herald,RED: first_tower_bot,RED: dragon,RED: second_tower_bot,RED: herald,RED: first_tower_mid,BLUE: first_tower_bot,RED: dragon,RED: first_tower_top,RED: second_tower_mid,RED: baron,RED: dragon,BLUE: first_tower_top,BLUE: first_tower_mid,RED: second_tower_top,BLUE: second_tower_mid,BLUE: dragon,BLUE: baron,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,1,1.0,6.0,13,0.54,7.65,13,0.38,6.2,9,0.56,13.62,10,0.4,5.44,10,0.3,1.28,1,0.0,0.67,4,0.5,1.4,4,0.5,1.22,1,0.0,0.67,1
45284,ESPORTSTMNT03_3098662,BLUE: first_blood,RED: herald,RED: first_tower_mid,RED: dragon,RED: first_tower_bot,RED: herald,RED: first_tower_top,RED: second_tower_mid,BLUE: first_tower_top,RED: third_tower_mid,RED: dragon,BLUE: first_tower_bot,RED: baron,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1,0.0,0.17,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
45285,ESPORTSTMNT03_3098673,BLUE: first_blood,BLUE: dragon,RED: herald,BLUE: dragon,BLUE: first_tower_bot,BLUE: first_tower_mid,RED: first_tower_bot,BLUE: herald,BLUE: first_tower_top,BLUE: second_tower_top,BLUE: dragon,BLUE: second_tower_mid,BLUE: baron,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.2,2,0.5,2.75,1,0.0,0.0,0,0,0,1
