game,blueTopChampion,blueTopGP,blueTopWR,blueTopKDA,blueJungleChampion,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidChampion,blueMidGP,blueMidWR,blueMidKDA,blueADCChampion,blueADCGP,blueADCWR,blueADCKDA,blueSupportChampion,blueSupportGP,blueSupportWR,blueSupportKDA,redTopChampion,redTopGP,redTopWR,redTopKDA,redJungleChampion,redJungleGP,redJungleWR,redJungleKDA,redMidChampion,redMidGP,redMidWR,redMidKDA,redAdcChampion,redAdcGP,redAdcWR,redAdcKDA,redSupportChampion,redSupportGP,redSupportWR,redSupportKDA,result
LOLTMNT01_42697,Jax,3,0.67,10.0,Maokai,1,1.0,0.0,Orianna,2,1.0,8.67,Kai'Sa,1,1.0,10,Rell,0,0,0,Gragas,0,0,0,Viego,1,1.0,21,Neeko,2,1.0,7.0,Xayah,2,1.0,32,Rakan,1,1.0,17,1
LOLTMNT02_34015,Aatrox,0,0,0,Rell,3,0.67,12.0,Azir,1,1.0,15.0,Varus,1,0.0,3.67,Leona,0,0,0,Udyr,2,1.0,6.67,Maokai,0,0,0,Tristana,0,0,0,Aphelios,0,0,0,Renata Glasc,0,0,0,1
LOLTMNT02_45623,Aatrox,1,1.0,0.33,Wukong,0,0,0,Orianna,0,0,0,Xayah,0,0,0,Rakan,0,0,0,K'Sante,1,1.0,8.0,Vi,1,0.0,4.5,Azir,2,0.0,16.0,Smolder,0,0,0,Blitzcrank,0,0,0,1
LOLTMNT01_34239,Udyr,0,0,0,Poppy,0,0,0,Orianna,0,0,0,Senna,0,0,0,Seraphine,0,0,0,Aatrox,0,0,0,Xin Zhao,0,0,0,Zac,0,0,0,Lucian,0,0,0,Nami,0,0,0,1
LOLTMNT01_52730,Aatrox,1,1.0,3.0,Sejuani,0,0,0,Azir,1,0.0,5.5,Kalista,0,0,0,Rell,1,1.0,1.0,K'Sante,3,0.67,7.25,Maokai,2,0.5,7.33,Orianna,3,1.0,21.0,Caitlyn,2,1.0,7.0,Renata Glasc,0,0,0,0
LOLTMNT01_54252,K'Sante,1,1.0,1.67,Xin Zhao,1,0.0,1.62,Orianna,1,1.0,1.0,Kalista,0,0,0,Braum,0,0,0,Gnar,0,0,0,Sejuani,0,0,0,Azir,0,0,0,Varus,0,0,0,Maokai,0,0,0,1
LOLTMNT01_41202,K'Sante,4,0.5,1.1,Maokai,0,0,0,Azir,0,0,0,Xayah,1,1.0,1.8,Rakan,1,1.0,2.33,Gnar,0,0,0,Sejuani,1,0.0,0.67,LeBlanc,0,0,0,Ezreal,0,0,0,Renata Glasc,2,0.0,0.5,1
LOLTMNT03_32337,Gnar,0,0,0,Nocturne,1,0.0,1.33,Neeko,0,0,0,Kalista,0,0,0,Rakan,0,0,0,K'Sante,0,0,0,Poppy,0,0,0,Orianna,0,0,0,Aphelios,0,0,0,Tahm Kench,0,0,0,1
LOLTMNT04_24485,Zac,1,1.0,11,Vi,4,0.75,5.0,Hwei,1,1.0,19,Kalista,1,1.0,3.0,Braum,0,0,0,Karma,0,0,0,Poppy,1,1.0,9.0,Azir,2,1.0,2.5,Varus,2,1.0,3.25,Blitzcrank,2,1.0,4.8,1
LOLTMNT02_43453,Aatrox,3,0.0,3.8,Ivern,1,0.0,7.0,Hwei,0,0,0,Zeri,0,0,0,Leona,1,0.0,2.0,Yone,0,0,0,Rell,0,0,0,Sylas,0,0,0,Smolder,0,0,0,Rakan,1,1.0,8.0,0
LOLTMNT01_41691,K'Sante,1,1.0,4.0,Jarvan IV,0,0,0,Orianna,0,0,0,Senna,0,0,0,Tahm Kench,0,0,0,Aatrox,1,1.0,2.33,Rell,4,0.75,17.0,Neeko,1,1.0,12.0,Xayah,2,1.0,15.0,Rakan,0,0,0,0
LOLTMNT04_24249,Yasuo,0,0,0,Rell,0,0,0,Hwei,0,0,0,Senna,0,0,0,Maokai,0,0,0,Gnar,1,1.0,13.0,Xin Zhao,3,0.33,5.86,Ahri,0,0,0,Ezreal,0,0,0,Yuumi,0,0,0,1
