game,blueTopChampion,blueTopGP,blueTopWR,blueTopKDA,blueJungleChampion,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidChampion,blueMidGP,blueMidWR,blueMidKDA,blueADCChampion,blueADCGP,blueADCWR,blueADCKDA,blueSupportChampion,blueSupportGP,blueSupportWR,blueSupportKDA,redTopChampion,redTopGP,redTopWR,redTopKDA,redJungleChampion,redJungleGP,redJungleWR,redJungleKDA,redMidChampion,redMidGP,redMidWR,redMidKDA,redAdcChampion,redAdcGP,redAdcWR,redAdcKDA,redSupportChampion,redSupportGP,redSupportWR,redSupportKDA,result
LOLTMNT01_34263,Gragas,0,0,0,Vi,0,0,0,Corki,0,0,0,Varus,0,0,0,Rakan,0,0,0,Jax,0,0,0,Maokai,0,0,0,Azir,0,0,0,Jhin,0,0,0,Rell,0,0,0,1
LOLTMNT04_26326,Twisted Fate,0,0,0,Vi,5,0.8,4.58,Azir,3,1.0,5.2,Kalista,2,1.0,4.6,Taric,0,0,0,Rumble,1,1.0,17.0,Poppy,1,1.0,13,Orianna,4,0.5,20.0,Varus,5,0.4,8.12,Rell,1,1.0,3.0,1
LOLTMNT01_58300,K'Sante,2,1.0,1.4,Maokai,0,0,0,Tristana,0,0,0,Lucian,2,0.5,4.14,Milio,4,0.75,16.33,Gnar,0,0,0,Brand,0,0,0,Azir,4,0.75,6.0,Senna,1,1.0,8,Tahm Kench,3,0.67,6.67,0
LOLTMNT01_44450,K'Sante,0,0,0,Maokai,0,0,0,Garen,0,0,0,Kalista,0,0,0,Senna,0,0,0,Gnar,0,0,0,Sejuani,0,0,0,Taliyah,0,0,0,Varus,1,1.0,12,Renata Glasc,0,0,0,0
LOLTMNT01_36899,Poppy,0,0,0,Vi,1,1.0,14.0,Akali,0,0,0,Jhin,0,0,0,Ashe,0,0,0,K'Sante,0,0,0,Trundle,0,0,0,Azir,0,0,0,Varus,0,0,0,Senna,0,0,0,0
LOLTMNT04_24460,Zac,1,1.0,11,Maokai,1,1.0,2.33,LeBlanc,3,0.67,3.0,Lucian,0,0,0,Nami,0,0,0,Poppy,0,0,0,Xin Zhao,3,0.67,4.43,Azir,2,1.0,2.5,Senna,0,0,0,Nautilus,0,0,0,1
LOLTMNT02_22976,K'Sante,0,0,0,Xin Zhao,0,0,0,Corki,0,0,0,Ashe,0,0,0,Nautilus,0,0,0,Malphite,0,0,0,Jax,0,0,0,Azir,0,0,0,Varus,0,0,0,Rakan,0,0,0,1
LOLTMNT05_14768,K'Sante,2,1.0,6.0,Maokai,0,0,0,LeBlanc,1,1.0,3.0,Kalista,0,0,0,Neeko,0,0,0,Gwen,0,0,0,Sejuani,1,1.0,1.33,Azir,1,1.0,1.0,Xayah,0,0,0,Rakan,1,1.0,3.0,1
LOLTMNT01_41660,K'Sante,3,1.0,2.0,Poppy,0,0,0,Azir,2,1.0,28.0,Lucian,0,0,0,Milio,0,0,0,Gwen,0,0,0,Xin Zhao,0,0,0,Orianna,0,0,0,Senna,0,0,0,Tahm Kench,0,0,0,0
LOLTMNT02_34214,Rumble,1,1.0,15.0,Maokai,0,0,0,Tristana,0,0,0,Jhin,0,0,0,Nautilus,0,0,0,Ornn,0,0,0,Rell,0,0,0,Corki,0,0,0,Varus,0,0,0,Rakan,1,1.0,9,0
LOLTMNT01_43953,Jax,1,1.0,3.67,Sejuani,0,0,0,Azir,0,0,0,Kalista,2,1.0,3.25,Rell,0,0,0,K'Sante,0,0,0,Vi,1,1.0,8.5,Orianna,0,0,0,Varus,1,1.0,0.75,Nautilus,1,0.0,0.8,1
LOLTMNT02_37722,Gnar,1,1.0,15.0,Nocturne,0,0,0,Hwei,0,0,0,Varus,2,0.5,5.25,Rell,1,0.0,3.5,K'Sante,1,1.0,8,Vi,0,0,0,Orianna,1,1.0,6.0,Ziggs,1,1.0,10,Rakan,0,0,0,0
LOLTMNT02_53343,Aatrox,3,0.33,2.0,Rell,1,0.0,1.75,Hwei,1,0.0,1.4,Ashe,0,0,0,Tahm Kench,1,1.0,1.33,Gnar,2,0.5,0.5,Vi,3,0.33,2.11,Twisted Fate,0,0,0,Varus,3,0.33,2.4,Nautilus,3,0.33,1.11,1
LOLTMNT06_13630,Renekton,0,0,0,Nocturne,0,0,0,Akali,0,0,0,Kalista,0,0,0,Pyke,0,0,0,Gwen,0,0,0,Vi,0,0,0,Neeko,0,0,0,Aphelios,0,0,0,Renata Glasc,0,0,0,0
LOLTMNT04_26024,K'Sante,2,1.0,8.67,Rell,0,0,0,Hwei,1,0.0,2.75,Varus,3,0.33,4.14,Bard,0,0,0,Rumble,0,0,0,Lee Sin,0,0,0,Akali,1,0.0,1.8,Senna,1,1.0,8.0,Maokai,0,0,0,1
LOLTMNT02_49563,Aatrox,1,1.0,3.0,Nocturne,0,0,0,Orianna,3,0.67,2.9,Kai'Sa,0,0,0,Rell,0,0,0,Yone,0,0,0,Xin Zhao,2,0.5,3.0,Azir,2,0.0,4.25,Lucian,2,0.5,5.33,Milio,1,0.0,5.0,0
LOLTMNT01_50182,Aatrox,2,0.5,3.0,Lillia,0,0,0,Yone,1,1.0,6,Kalista,4,0.75,11.6,Rell,1,1.0,7.0,K'Sante,5,0.6,1.5,Maokai,2,0.5,3.5,Tristana,0,0,0,Draven,0,0,0,Renata Glasc,1,0.0,1.67,1
