golId,game,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35,event36,event37,event38,event39,event40,event41,event42,event43,event44,event45,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
37936,ESPORTSTMNT01_2743876,RED: first_blood,BLUE: dragon,BLUE: herald,RED: dragon,BLUE: first_tower_bot,RED: first_tower_bot,RED: second_tower_bot,BLUE: herald,RED: dragon,RED: first_tower_mid,BLUE: first_tower_top,RED: first_tower_top,RED: baron,BLUE: second_tower_bot,RED: second_tower_mid,RED: third_tower_bot,RED: inhibitor_bot,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.2,1.4,0,0.0,0.0,8,0.38,2.9,5,0.4,4.2,4,0.5,13.3,19,0.53,3.0,13,0.62,4.1,4,1.0,6.0,5,0.8,6.8,5,0.8,5.2,1
37938,ESPORTSTMNT01_2744457,RED: first_blood,BLUE: herald,RED: dragon,RED: first_tower_bot,BLUE: dragon,RED: herald,BLUE: first_tower_top,RED: first_tower_mid,BLUE: first_tower_bot,RED: baron,RED: first_tower_top,BLUE: dragon,RED: second_tower_top,RED: second_tower_mid,BLUE: first_tower_mid,RED: third_tower_mid,BLUE: baron,RED: inhibitor_mid,BLUE: second_tower_mid,BLUE: second_tower_top,BLUE: dragon,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,4,0.25,2.5,5,0.2,3.3,5,0.4,1.9,1,1.0,3.0,0,0.0,0.0,0,0.0,0.0,5,0.6,3.8,11,0.36,2.4,0
37939,ESPORTSTMNT01_2744507,RED: first_blood,RED: dragon,RED: herald,BLUE: dragon,RED: first_tower_top,RED: first_tower_bot,RED: herald,BLUE: first_tower_bot,RED: first_tower_mid,BLUE: dragon,RED: second_tower_top,RED: baron,RED: second_tower_mid,RED: third_tower_mid,RED: second_tower_bot,RED: inhibitor_mid,RED: dragon,RED: third_tower_bot,RED: inhibitor_bot,RED: nexus_tower,RED: baron,RED: inhibitor_mid,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,10,0.6,2.2,2,1.0,7.0,0,0.0,0.0,1,0.0,4.0,12,0.33,2.1,1,0.0,3.0,11,0.73,4.7,4,0.5,3.1,4,0.75,12.2,0,0.0,0.0,1
37940,ESPORTSTMNT01_2744546,BLUE: first_blood,RED: dragon,BLUE: herald,RED: dragon,BLUE: first_tower_bot,RED: herald,RED: first_tower_mid,BLUE: dragon,RED: first_tower_top,BLUE: first_tower_top,BLUE: dragon,BLUE: first_tower_mid,RED: first_tower_bot,BLUE: baron,BLUE: dragon,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,10.0,2,1.0,6.0,2,1.0,3.0,1,1.0,17.0,6,0.5,1.9,15,0.47,2.0,4,0.5,4.6,8,0.5,3.9,1,0.0,0.8,1,0.0,1.0,0
37941,ESPORTSTMNT01_2745222,BLUE: first_blood,BLUE: dragon,RED: herald,RED: dragon,BLUE: first_tower_bot,RED: herald,BLUE: second_tower_bot,BLUE: first_tower_top,RED: first_tower_mid,RED: first_tower_bot,BLUE: dragon,RED: first_tower_top,BLUE: first_tower_mid,BLUE: second_tower_mid,BLUE: third_tower_bot,BLUE: third_tower_mid,BLUE: dragon,BLUE: second_tower_top,BLUE: baron,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: inhibitor_mid,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,8,0.5,2.1,0,0.0,0.0,0,0.0,0.0,5,0.8,5.6,4,1.0,9.5,2,1.0,5.3,9,0.56,3.1,1,1.0,13.0,4,0.75,4.8,4,0.5,3.4,0
37942,ESPORTSTMNT01_2744573,BLUE: first_blood,RED: dragon,RED: herald,RED: dragon,RED: first_tower_bot,BLUE: first_tower_top,RED: herald,RED: first_tower_mid,RED: dragon,RED: second_tower_bot,RED: dragon,RED: first_tower_top,RED: baron,RED: elder_dragon,RED: second_tower_mid,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,2.0,1,0.0,1.5,1,0.0,8.0,2,0.0,2.0,4,0.25,1.1,9,0.44,2.4,0,0.0,0.0,6,0.33,2.2,12,0.75,4.1,0,0.0,0.0,1
37548,ESPORTSTMNT06_2210962,RED: first_blood,RED: dragon,RED: herald,BLUE: dragon,BLUE: first_tower_bot,RED: first_tower_top,BLUE: herald,BLUE: first_tower_top,BLUE: first_tower_mid,BLUE: second_tower_top,RED: first_tower_mid,BLUE: third_tower_top,RED: dragon,RED: first_tower_bot,BLUE: baron,BLUE: second_tower_mid,RED: second_tower_bot,BLUE: second_tower_bot,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,10,0.5,2.2,14,0.5,3.9,9,0.44,3.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,0.0,1.4,9,0.33,1.5,2,0.5,4.8,0,0.0,0.0,0
36013,ESPORTSTMNT01_2697106,BLUE: first_blood,BLUE: dragon,RED: herald,RED: first_tower_mid,BLUE: first_tower_bot,RED: herald,BLUE: first_tower_top,RED: first_tower_bot,BLUE: dragon,BLUE: first_tower_mid,RED: first_tower_top,BLUE: second_tower_mid,BLUE: dragon,RED: second_tower_mid,BLUE: dragon,BLUE: third_tower_mid,BLUE: baron,BLUE: inhibitor_mid,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,4,0.5,3.3,2,0.0,1.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,1.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
36014,ESPORTSTMNT01_2697166,BLUE: first_blood,RED: dragon,RED: herald,RED: dragon,BLUE: first_tower_bot,RED: herald,RED: first_tower_bot,BLUE: first_tower_top,RED: dragon,RED: first_tower_top,BLUE: baron,BLUE: first_tower_mid,RED: dragon,RED: first_tower_mid,BLUE: elder_dragon,BLUE: baron,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: elder_dragon,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,2,0.0,2.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.67,2.2,2,0.0,2.8,1,0.0,2.9,4,0.25,1.9,0
37551,ESPORTSTMNT06_2210965,RED: dragon,RED: herald,RED: first_blood,RED: dragon,RED: first_tower_bot,BLUE: first_tower_bot,RED: first_tower_top,RED: herald,RED: dragon,RED: first_tower_mid,RED: second_tower_top,BLUE: dragon,RED: baron,RED: second_tower_mid,RED: second_tower_bot,RED: third_tower_mid,RED: third_tower_bot,RED: inhibitor_mid,RED: inhibitor_bot,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,4,0.75,2.3,8,0.63,4.2,5,0.4,2.1,0,0.0,0.0,6,0.67,3.4,2,0.5,2.5,23,0.65,3.0,2,0.5,2.5,17,0.76,3.3,1
